,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
7739,s1064-110,1,0,0,0,1,1,0
7740,s1065-110,1,0,0,1,1,1,0
7741,s1075-110,1,0,0,1,1,1,0
7742,s1078-110,1,0,0,1,1,1,0
7743,s1097-110,1,0,0,1,1,1,0
7744,s1148-110,1,0,0,1,1,1,1
7745,s120-110,1,0,0,1,1,1,0
7746,s1240-110,1,0,0,1,1,1,0
7747,s1259-110,1,0,0,1,1,1,0
7748,s1343-110,1,0,0,1,1,1,0
7749,s1363-110,1,0,0,0,1,1,0
7750,s1390-110,1,0,0,1,1,1,0
7751,s1409-110,1,0,0,1,1,1,0
7752,s1427-110,1,0,0,1,1,1,0
7753,s1444-110,1,0,0,1,1,1,0
7754,s1452-110,1,0,0,0,1,1,0
7755,s1480-110,0,0,0,1,1,1,0
7756,s1485-110,1,0,0,0,1,1,0
7757,s1500-110,1,0,0,0,1,1,1
7758,s1542-110,1,0,0,1,1,1,0
7759,s1604-110,1,0,0,0,1,1,0
7760,s1705-110,1,0,0,1,1,1,0
7761,s1712-110,0,0,0,1,1,1,0
7762,s1763-110,1,0,0,1,1,1,0
7763,s1787-110,1,0,0,1,1,1,0
7764,s1793-110,1,0,0,1,1,1,0
7765,s1800-110,1,0,0,1,1,1,0
7766,s1801-110,1,0,0,0,1,1,0
7767,s1812-110,1,0,0,1,1,1,0
7768,s1816-110,1,0,0,1,1,1,1
7769,s1821-110,1,0,0,1,1,1,0
7770,s1823-110,1,0,0,0,1,1,0
7771,s1840-110,1,0,0,1,1,1,0
7772,s1888-110,1,0,0,1,1,1,0
7773,s1898-110,1,0,0,1,1,1,0
7774,s19-110,0,0,0,1,1,1,0
7775,s1911-110,1,0,0,1,1,1,1
7776,s1950-110,1,0,0,0,1,1,0
7777,s1967-110,1,0,0,0,1,1,0
7778,s20-110,1,0,0,1,1,1,0
7779,s2005-110,1,0,0,0,1,1,0
7780,s201-110,1,0,0,1,1,1,0
7781,s2054-110,1,0,0,1,1,1,0
7782,s2059-110,1,0,0,1,1,1,0
7783,s2082-110,1,0,0,1,1,1,0
7784,s211-110,1,0,0,1,1,1,0
7785,s2114-110,0,0,0,0,1,1,0
7786,s2175-110,0,0,0,1,1,1,0
7787,s2187-110,1,0,0,1,1,1,0
7788,s2222-110,0,0,0,0,1,1,0
7789,s2244-110,0,0,0,0,1,1,0
7790,s2310-110,1,0,0,1,1,1,0
7791,s2341-110,1,0,0,0,1,1,0
