,bill_id,cosponsor_flg,amendments_flg,popular_flg,related_bills_flg,party_flg,majority_flg,Class
332,hr4731-107,0,0,0,0,1,0,0
333,hr4732-107,0,0,0,0,1,0,0
334,hr5731-107,0,0,0,0,1,0,0
335,hr5757-107,1,0,0,0,1,0,0
336,hr719-107,1,0,0,0,1,0,0
337,hr720-107,1,0,0,0,1,0,0
338,hr1037-107,1,0,0,0,0,0,0
339,hr1782-107,1,0,0,0,0,0,0
340,hr1783-107,0,0,0,1,0,0,0
341,hr1998-107,0,0,0,0,0,0,0
342,hr2025-107,1,0,0,0,0,0,0
343,hr2689-107,1,0,0,0,0,0,0
344,hr3073-107,1,0,0,0,0,0,0
345,hr317-107,1,0,0,0,0,0,0
346,hr3230-107,1,0,0,0,0,0,1
347,hr3297-107,1,0,0,1,0,0,1
348,hr3346-107,0,0,0,0,0,0,1
349,hr4087-107,1,0,0,0,0,0,0
350,hr4195-107,0,0,0,0,0,0,0
351,hr4196-107,0,0,0,0,0,0,0
352,hr4231-107,1,0,0,0,0,0,1
353,hr5179-107,0,0,0,0,0,0,0
354,hr5251-107,1,0,0,0,0,0,0
355,hr5645-107,1,0,0,0,0,0,0
356,hr612-107,1,0,0,0,0,0,0
357,hr978-107,1,0,0,0,0,0,0
358,hr1038-107,1,0,0,1,1,0,0
359,hr1290-107,1,0,0,0,1,0,0
360,hr321-107,1,0,0,0,1,0,0
361,hr3232-107,0,0,0,0,1,0,0
362,hr1040-107,1,0,0,1,0,0,0
363,hr1331-107,1,0,1,1,0,0,0
364,hr1704-107,1,0,0,0,0,0,0
365,hr3357-107,1,0,0,1,0,0,0
366,hr4483-107,1,0,0,1,0,0,0
367,hr5005-107,1,1,1,1,0,0,1
368,hr5033-107,1,0,0,0,0,0,0
369,hr5710-107,1,1,1,1,0,0,1
370,hr1041-107,1,0,0,0,1,0,0
371,hr1041-107,1,0,0,0,0,0,0
372,hr3962-107,1,0,0,0,1,0,0
373,hr3962-107,1,0,0,0,0,0,0
374,hr4439-107,0,0,0,0,1,0,0
375,hr4439-107,0,0,0,0,0,0,0
376,hr4893-107,0,0,0,0,1,0,0
377,hr4893-107,0,0,0,0,0,0,0
378,hr4952-107,1,0,0,0,1,0,0
379,hr4952-107,1,0,0,0,0,0,0
380,hr695-107,1,1,0,1,1,0,1
381,hr695-107,1,1,0,1,0,0,1
382,hr1042-107,0,0,0,0,0,0,1
383,hr1846-107,1,0,0,0,0,0,0
384,hr1847-107,1,0,0,0,0,0,0
385,hr2442-107,1,0,0,0,0,0,0
386,hr4839-107,1,0,0,0,0,0,0
387,hr827-107,1,0,0,0,0,0,0
388,hr828-107,1,0,0,0,0,0,0
389,hr1043-107,1,0,0,0,1,0,0
390,hr1044-107,1,0,0,0,1,0,0
391,hr1256-107,1,0,0,0,1,0,0
392,hr1413-107,1,0,0,0,1,0,0
393,hr1530-107,1,0,0,0,1,0,0
394,hr2677-107,1,0,0,0,1,0,0
395,hr2693-107,1,0,0,0,1,0,0
396,hr3047-107,1,0,0,0,1,0,0
397,hr3371-107,1,0,0,0,1,0,0
398,hr4715-107,1,0,0,0,1,0,0
399,hr4730-107,1,0,0,1,1,0,0
400,hr5252-107,1,0,0,0,1,0,0
401,hr5690-107,1,0,0,0,1,0,0
402,hr1046-107,0,0,0,0,1,0,0
403,hr1047-107,0,0,0,0,1,0,0
404,hr1048-107,1,0,0,0,1,0,0
405,hr1049-107,1,0,0,0,1,0,0
406,hr1050-107,0,0,0,0,1,0,0
407,hr1062-107,0,0,0,0,1,0,0
408,hr1063-107,0,0,0,0,1,0,0
409,hr1064-107,1,0,0,0,1,0,0
410,hr1065-107,0,0,0,1,1,0,0
411,hr1104-107,0,0,0,1,1,0,0
412,hr1105-107,0,0,0,0,1,0,0
413,hr1106-107,1,0,0,0,1,0,0
414,hr1107-107,0,0,0,0,1,0,0
415,hr13-107,1,0,0,1,1,0,0
416,hr1422-107,0,0,0,1,1,0,0
417,hr1545-107,1,0,0,0,1,0,0
418,hr1546-107,0,0,0,0,1,0,0
419,hr1547-107,0,0,0,0,1,0,0
420,hr1548-107,0,0,0,0,1,0,0
421,hr1549-107,0,0,0,0,1,0,0
422,hr1649-107,1,0,0,0,1,0,0
423,hr1651-107,1,0,0,0,1,0,0
424,hr1888-107,0,0,0,0,1,0,0
425,hr200-107,1,0,0,0,1,0,0
426,hr2014-107,1,0,0,0,1,0,0
427,hr2071-107,1,0,0,0,1,0,0
428,hr2098-107,1,0,0,0,1,0,0
429,hr2214-107,0,0,0,0,1,0,0
430,hr2218-107,0,0,0,0,1,0,0
431,hr2332-107,1,0,0,0,1,0,0
432,hr2461-107,0,0,0,0,1,0,0
433,hr2679-107,0,0,0,0,1,0,0
434,hr2680-107,0,0,0,0,1,0,0
435,hr2681-107,0,0,0,0,1,0,0
436,hr2696-107,0,0,0,0,1,0,0
437,hr2697-107,0,0,0,0,1,0,0
438,hr2698-107,0,0,0,0,1,0,0
439,hr2834-107,0,0,0,0,1,0,0
440,hr2844-107,0,0,0,0,1,0,0
441,hr2845-107,0,0,0,0,1,0,0
442,hr2928-107,0,0,0,0,1,0,0
443,hr2984-107,0,0,0,0,1,0,0
444,hr3170-107,0,0,0,0,1,0,0
445,hr3313-107,0,0,0,0,1,0,0
446,hr3314-107,0,0,0,0,1,0,0
447,hr3361-107,0,0,0,0,1,0,0
448,hr3445-107,1,0,0,0,1,0,0
449,hr3446-107,1,0,0,0,1,0,0
450,hr3485-107,0,0,0,0,1,0,0
451,hr3532-107,1,0,0,0,1,0,0
452,hr3563-107,1,0,0,0,1,0,0
453,hr3696-107,0,0,0,0,1,0,0
454,hr3697-107,0,0,0,0,1,0,0
455,hr3737-107,1,0,0,1,1,0,0
456,hr398-107,0,0,0,0,1,0,0
457,hr401-107,0,0,0,0,1,0,0
458,hr402-107,0,0,0,0,1,0,0
459,hr403-107,0,0,0,0,1,0,0
460,hr404-107,0,0,0,0,1,0,0
461,hr405-107,0,0,0,0,1,0,0
462,hr406-107,0,0,0,0,1,0,0
463,hr407-107,0,0,0,0,1,0,0
464,hr408-107,1,0,0,0,1,0,0
465,hr409-107,1,0,0,1,1,0,0
466,hr410-107,0,0,0,0,1,0,0
467,hr411-107,0,0,0,0,1,0,0
468,hr412-107,0,0,0,0,1,0,0
469,hr413-107,1,0,0,0,1,0,0
470,hr414-107,0,0,0,0,1,0,0
471,hr416-107,0,0,0,0,1,0,0
472,hr417-107,0,0,0,0,1,0,0
473,hr5014-107,0,0,0,0,1,0,0
474,hr5170-107,0,0,0,0,1,0,0
475,hr5171-107,0,0,0,0,1,0,0
476,hr5268-107,1,0,0,0,1,0,0
477,hr528-107,1,0,0,1,1,0,0
478,hr529-107,1,0,0,0,1,0,0
479,hr530-107,1,0,0,0,1,0,0
480,hr5386-107,0,0,0,0,1,0,0
481,hr5476-107,1,0,0,0,1,0,0
482,hr5532-107,0,0,0,0,1,0,0
483,hr5543-107,0,0,0,0,1,0,0
484,hr565-107,1,0,0,0,1,0,0
485,hr566-107,1,0,0,0,1,0,0
486,hr567-107,0,0,0,0,1,0,0
487,hr568-107,0,0,0,0,1,0,0
488,hr569-107,0,0,0,0,1,0,0
489,hr618-107,0,0,0,0,1,0,0
490,hr728-107,0,0,0,0,1,0,0
491,hr729-107,0,0,0,0,1,0,0
492,hr730-107,1,0,0,1,1,0,0
493,hr731-107,0,0,0,0,1,0,0
494,hr732-107,0,0,0,0,1,0,0
495,hr733-107,0,0,0,0,1,0,0
496,hr734-107,0,0,0,0,1,0,0
497,hr735-107,0,0,0,0,1,0,0
498,hr736-107,0,0,0,0,1,0,0
499,hr813-107,0,0,0,0,1,0,0
500,hr814-107,1,0,0,0,1,0,0
501,hr815-107,0,0,0,0,1,0,0
502,hr816-107,0,0,0,1,1,0,0
503,hr1051-107,1,0,0,0,1,0,0
504,hr1052-107,1,0,0,0,1,0,0
505,hr1053-107,1,0,0,0,1,0,0
506,hr1054-107,1,0,0,0,1,0,0
507,hr1055-107,1,0,0,0,1,0,0
508,hr1056-107,1,0,0,0,1,0,0
509,hr1057-107,1,0,0,0,1,0,0
510,hr1058-107,1,0,0,0,1,0,0
511,hr1059-107,1,0,0,0,1,0,0
512,hr1060-107,1,0,0,0,1,0,0
513,hr1061-107,1,0,0,0,1,0,0
514,hr1114-107,1,0,0,0,1,0,0
515,hr1311-107,1,0,0,1,1,0,0
516,hr1355-107,1,0,0,0,1,0,0
517,hr1416-107,1,0,0,1,1,0,0
518,hr1480-107,1,0,0,1,1,0,0
519,hr1481-107,1,0,0,0,1,0,0
520,hr1758-107,0,0,0,0,1,0,0
521,hr2022-107,1,0,0,0,1,0,0
522,hr2395-107,1,0,0,0,1,0,0
523,hr2572-107,0,0,0,0,1,0,0
524,hr2579-107,0,0,0,0,1,0,0
525,hr2609-107,1,0,0,1,1,0,0
526,hr2772-107,0,0,0,0,1,0,0
527,hr2900-107,1,0,0,0,1,0,0
528,hr2961-107,1,0,0,0,1,0,0
529,hr3100-107,1,0,0,1,1,0,1
530,hr3766-107,1,0,0,0,1,0,0
531,hr3818-107,1,0,0,1,1,0,0
532,hr3926-107,1,0,0,0,1,0,0
533,hr4083-107,1,0,0,0,1,0,0
534,hr4817-107,1,0,0,0,1,0,0
535,hr4818-107,0,0,0,0,1,0,0
536,hr5070-107,1,0,0,1,1,0,0
537,hr508-107,1,0,0,0,1,0,0
538,hr5288-107,1,0,0,0,1,0,0
539,hr5507-107,0,0,0,0,1,0,1
540,hr5621-107,0,0,0,0,1,0,0
541,hr674-107,1,0,0,1,1,0,0
542,hr858-107,1,0,0,1,1,0,0
543,hr859-107,0,0,0,0,1,0,0
544,hr888-107,1,0,0,0,1,0,0
545,hr106-107,0,0,0,0,0,0,0
546,hr107-107,1,0,0,0,0,0,1
547,hr108-107,1,0,0,0,0,0,0
548,hr109-107,0,0,0,0,0,0,0
549,hr110-107,1,0,0,0,0,0,0
550,hr1460-107,1,0,0,0,0,0,0
551,hr1461-107,0,0,0,0,0,0,0
552,hr1462-107,1,0,0,0,0,0,1
553,hr1714-107,1,0,0,0,0,0,0
554,hr1991-107,0,0,0,0,0,0,0
555,hr2187-107,1,0,0,0,0,0,1
556,hr2279-107,1,0,0,0,0,0,0
557,hr2388-107,1,0,0,0,0,0,1
558,hr2938-107,0,0,0,0,0,0,0
559,hr3177-107,1,0,0,1,0,0,0
560,hr350-107,0,0,0,0,0,0,0
561,hr351-107,0,0,0,0,0,0,0
562,hr352-107,0,0,0,0,0,0,0
563,hr3881-107,1,0,0,0,0,0,0
564,hr4003-107,1,0,0,0,0,0,0
565,hr4552-107,0,0,0,0,0,0,0
566,hr4650-107,1,0,0,0,0,0,0
567,hr5042-107,1,0,0,0,0,0,0
568,hr5101-107,0,0,0,0,0,0,0
569,hr5102-107,1,0,0,0,0,0,0
570,hr581-107,1,1,0,1,0,0,1
571,hr746-107,1,0,0,0,0,0,0
572,hr1066-107,1,0,0,0,1,0,0
573,hr1435-107,1,0,0,0,1,0,0
574,hr1436-107,1,0,0,0,1,0,0
575,hr2093-107,0,0,0,0,1,0,0
576,hr2376-107,1,0,0,0,1,0,0
577,hr2907-107,1,0,0,0,1,0,0
578,hr3290-107,1,0,0,0,1,0,0
579,hr3318-107,1,0,0,0,1,0,0
580,hr3431-107,1,0,0,0,1,0,0
581,hr3462-107,1,0,0,1,1,0,0
582,hr3898-107,1,0,0,1,1,0,0
583,hr4032-107,1,0,0,0,1,0,0
584,hr4596-107,1,0,0,0,1,0,0
585,hr4916-107,1,0,0,1,1,0,0
586,hr532-107,1,0,0,0,1,0,0
587,hr5399-107,1,0,0,0,1,0,1
588,hr573-107,1,0,0,0,1,0,0
589,hr630-107,1,0,0,0,1,0,0
590,hr772-107,0,0,0,0,1,0,0
591,hr908-107,1,0,0,0,1,0,0
592,hr1071-107,1,0,0,0,1,0,0
593,hr1175-107,1,0,0,0,1,0,0
594,hr1447-107,0,0,0,0,1,0,0
595,hr1448-107,0,0,0,0,1,0,1
596,hr1712-107,0,0,0,0,1,0,1
597,hr2673-107,1,0,0,0,1,0,0
598,hr3467-107,0,0,0,0,1,0,0
599,hr3576-107,0,0,0,0,1,0,0
600,hr3720-107,0,0,0,0,1,0,0
601,hr3790-107,0,0,0,0,1,0,0
602,hr4504-107,0,0,0,0,1,0,0
603,hr4631-107,0,0,0,0,1,0,0
604,hr4838-107,0,0,0,0,1,0,0
